"game","superid","round","showScore","initScore","payoff","cumulativePayoff","cPayoffS","WealthLevel","coop","local_rate_coop","degree","happ","harm"
201,20102,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,20103,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,20104,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,20105,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,20106,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,20108,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,20109,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,20110,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,20111,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,20112,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,20200,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,20201,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,20202,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,20203,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,20204,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,20205,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,20206,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,20208,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,20209,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,20210,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,20211,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,20300,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,20301,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,20302,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,20303,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,20304,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,20305,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,20307,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,20308,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,20310,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,20311,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,20400,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,20401,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,20402,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,20403,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,20404,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,20405,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,20406,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,20407,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,20408,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,20409,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,20410,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,20411,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,20412,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,20502,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,20503,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,20504,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,20505,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,20506,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,20507,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,20508,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,20509,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,20510,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,20513,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,20514,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,20600,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,20601,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,20602,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,20603,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,20604,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,20605,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,20606,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,20608,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,20611,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,20612,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,20613,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,20701,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,20702,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,20703,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,20704,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,20705,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,20706,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,20708,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,20711,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,20712,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,20713,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,20800,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,20801,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,20802,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,20803,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,20804,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,20805,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,20806,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,20807,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,20808,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,20809,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,20810,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,20812,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,20813,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,20814,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,20900,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,20901,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,20902,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,20903,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,20904,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,20905,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,20906,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,20907,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,20908,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,20909,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,20910,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,20911,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,20912,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,21000,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,21001,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,21002,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,21003,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,21004,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,21005,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,21008,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,21009,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,21010,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,21011,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,21012,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,21013,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,21014,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,21017,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,21018,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,21100,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,21103,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,21105,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,21106,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,21107,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,21108,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,21109,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,21111,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,21112,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,21201,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,21202,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,21203,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,21204,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,21205,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,21206,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,21207,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,21208,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,21209,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,21210,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,21211,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,21212,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,21213,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,21214,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,21216,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,21217,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,21218,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,21219,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,21221,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,21222,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,21300,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,21301,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,21302,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,21303,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,21304,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,21305,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,21306,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,21307,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,21308,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,21309,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,21310,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,21311,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,21312,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,21313,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,21315,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,21316,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,21317,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,21318,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,21319,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,21320,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,21321,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,21322,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,21323,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,21324,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,21400,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,21401,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,21402,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,21404,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,21405,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,21406,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,21407,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,21408,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,21409,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,21410,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,21411,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,21412,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,21413,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,21416,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,21417,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,21500,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,21501,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,21502,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,21503,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,21504,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,21506,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,21507,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,21508,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,21509,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,21510,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,21511,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,21512,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,21513,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,21514,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,21515,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,21516,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,21600,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,21601,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,21602,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,21603,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,21604,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,21606,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,21607,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,21608,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,21609,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,21610,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,21611,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,21612,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,21614,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,21615,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,21616,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,21617,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,21618,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,21619,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,21701,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,21702,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,21703,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,21704,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,21705,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,21706,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,21708,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,21709,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,21711,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,21712,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,21801,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,21802,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,21805,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,21806,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,21807,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,21808,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,21809,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,21810,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,21811,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,21812,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,21813,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,21814,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,21816,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,21900,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,21901,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,21902,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,21903,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,21904,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,21905,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,21906,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,21907,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,21908,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,21909,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,21910,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,21911,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,21912,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,21913,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,21914,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,21915,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,21916,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,22000,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,22001,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,22002,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,22003,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,22004,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,22005,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,22006,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,22007,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,22008,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,22009,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,22010,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,22012,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,22013,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,22014,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,22015,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,22016,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,22017,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,22018,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,22019,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,22100,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,22101,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,22102,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,22103,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,22104,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,22105,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,22106,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,22107,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,22108,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,22109,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,22110,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,22111,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,22113,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,22115,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,22116,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,22200,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,22201,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,22202,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,22205,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,22206,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,22207,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,22208,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,22209,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,22210,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,22211,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,22212,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,22213,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,22214,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,22215,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,22216,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,22218,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,22219,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,22220,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,22221,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,22300,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,22301,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,22302,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,22303,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,22305,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,22306,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,22308,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,22309,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,22310,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,22311,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,22312,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,22313,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,22314,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,22315,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,22400,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,22401,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,22402,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,22403,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,22404,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,22405,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,22406,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,22407,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,22408,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,22409,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,22410,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,22411,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,22413,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,22414,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,22415,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,22417,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,22418,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,22419,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,22420,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,22421,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,22422,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,22423,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,22424,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,22500,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,22502,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,22503,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,22504,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,22505,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,22506,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,22507,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,22508,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,22509,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,22511,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,22512,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,22513,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,22600,0,1,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,22601,0,1,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
